iter	Passed	Remaining
0	96	43464
1	133	29864
2	180	26882
3	222	24859
4	266	23675
5	313	23180
6	430	27229
7	493	27244
8	535	26232
9	576	25378
10	621	24806
11	662	24196
12	697	23463
13	740	23051
14	775	22499
15	820	22246
16	853	21728
17	888	21317
18	920	20875
19	958	20617
20	997	20381
21	1032	20080
22	1065	19779
23	1099	19510
24	1133	19266
25	1168	19060
26	1207	18912
27	1242	18728
28	1279	18574
29	1333	18664
30	1376	18607
31	1410	18421
32	1444	18249
33	1487	18201
34	1527	18107
35	1571	18077
36	1613	18010
37	1651	17905
38	1688	17794
39	1729	17727
40	1763	17595
41	1804	17525
42	1847	17484
43	1888	17423
44	1926	17341
45	1966	17268
46	2004	17186
47	2054	17210
48	2093	17129
49	2141	17132
50	2192	17152
51	2233	17096
52	2288	17141
53	2337	17141
54	2381	17102
55	2420	17032
56	2459	16961
57	2507	16950
58	2555	16938
59	2596	16879
60	2636	16813
61	2672	16726
62	2708	16635
63	2748	16579
64	2784	16490
65	2823	16429
66	2859	16344
67	2904	16316
68	2940	16237
69	2975	16155
70	3012	16083
71	3059	16061
72	3098	16000
73	3164	16077
74	3210	16050
75	3259	16040
76	3308	16028
77	3348	15969
78	3385	15897
79	3421	15825
80	3462	15773
81	3497	15695
82	3533	15622
83	3569	15552
84	3605	15481
85	3639	15404
86	3674	15332
87	3711	15269
88	3746	15197
89	3782	15128
90	3814	15046
91	3846	14967
92	3880	14894
93	3911	14813
94	3944	14741
95	3978	14671
96	4011	14598
97	4046	14534
98	4082	14474
99	4117	14409
100	4149	14339
101	4185	14280
102	4222	14224
103	4255	14158
104	4290	14096
105	4325	14036
106	4358	13971
107	4390	13902
108	4421	13831
109	4457	13778
110	4494	13727
111	4527	13664
112	4558	13594
113	4596	13548
114	4629	13485
115	4666	13436
116	4715	13420
117	4756	13381
118	4797	13344
119	4837	13303
120	4884	13282
121	4926	13244
122	4970	13213
123	5010	13171
124	5042	13109
125	5076	13055
126	5116	13012
127	5162	12987
128	5204	12951
129	5246	12914
130	5289	12879
131	5332	12846
132	5376	12815
133	5411	12760
134	5443	12702
135	5477	12645
136	5512	12593
137	5544	12536
138	5581	12488
139	5619	12443
140	5663	12410
141	5696	12356
142	5733	12308
143	5768	12258
144	5802	12205
145	5837	12154
146	5875	12111
147	5911	12063
148	5948	12015
149	5986	11972
150	6022	11925
151	6064	11889
152	6130	11900
153	6185	11889
154	6222	11842
155	6260	11798
156	6313	11781
157	6390	11810
158	6438	11784
159	6478	11742
160	6517	11699
161	6561	11664
162	6589	11602
163	6640	11580
164	6676	11531
165	6714	11487
166	6749	11438
167	6847	11493
168	6885	11448
169	6936	11424
170	6981	11391
171	7026	11356
172	7058	11301
173	7093	11251
174	7125	11197
175	7156	11141
176	7192	11092
177	7228	11045
178	7266	11000
179	7300	10950
180	7332	10897
181	7367	10849
182	7400	10797
183	7432	10744
184	7468	10698
185	7503	10650
186	7537	10601
187	7581	10566
188	7616	10518
189	7651	10470
190	7689	10426
191	7728	10384
192	7763	10337
193	7805	10299
194	7841	10253
195	7875	10206
196	7911	10160
197	7944	10111
198	7981	10066
199	8022	10027
200	8059	9984
201	8100	9945
202	8138	9902
203	8172	9855
204	8212	9814
205	8250	9772
206	8284	9725
207	8330	9692
208	8368	9650
209	8403	9604
210	8442	9562
211	8473	9513
212	8504	9463
213	8539	9417
214	8575	9373
215	8612	9330
216	8643	9281
217	8676	9234
218	8708	9185
219	8740	9138
220	8775	9092
221	8810	9048
222	8840	8999
223	8877	8956
224	8909	8909
225	8939	8859
226	8975	8817
227	9007	8770
228	9038	8722
229	9070	8675
230	9100	8627
231	9132	8581
232	9167	8537
233	9198	8491
234	9231	8445
235	9261	8397
236	9302	8360
237	9336	8316
238	9372	8274
239	9418	8241
240	9463	8207
241	9496	8162
242	9535	8122
243	9571	8080
244	9601	8034
245	9631	7987
246	9663	7941
247	9697	7898
248	9735	7858
249	9771	7816
250	9813	7780
251	9848	7738
252	9884	7696
253	9919	7654
254	9956	7614
255	9991	7571
256	10025	7528
257	10059	7486
258	10097	7446
259	10134	7406
260	10192	7380
261	10229	7340
262	10268	7301
263	10298	7255
264	10334	7214
265	10367	7171
266	10398	7126
267	10436	7087
268	10473	7047
269	10568	7045
270	10605	7004
271	10638	6961
272	10670	6918
273	10705	6876
274	10741	6835
275	10774	6792
276	10808	6750
277	10845	6709
278	10878	6667
279	10912	6625
280	10947	6584
281	10990	6547
282	11024	6505
283	11059	6464
284	11097	6424
285	11134	6384
286	11169	6343
287	11207	6304
288	11245	6264
289	11284	6225
290	11317	6183
291	11350	6141
292	11385	6100
293	11438	6069
294	11473	6028
295	11508	5987
296	11548	5949
297	11583	5908
298	11617	5867
299	11650	5825
300	11681	5782
301	11716	5741
302	11749	5700
303	11785	5660
304	11823	5620
305	11860	5581
306	11901	5543
307	11943	5506
308	11981	5467
309	12014	5425
310	12049	5385
311	12086	5345
312	12121	5305
313	12155	5264
314	12194	5226
315	12234	5188
316	12268	5147
317	12310	5110
318	12348	5071
319	12393	5034
320	12432	4996
321	12469	4956
322	12502	4915
323	12536	4875
324	12569	4834
325	12600	4792
326	12638	4753
327	12672	4713
328	12706	4673
329	12739	4632
330	12773	4592
331	12809	4552
332	12845	4513
333	12880	4473
334	12926	4437
335	12960	4397
336	12998	4358
337	13036	4319
338	13072	4280
339	13108	4241
340	13144	4201
341	13180	4162
342	13214	4122
343	13253	4083
344	13294	4046
345	13329	4006
346	13369	3968
347	13400	3927
348	13432	3887
349	13464	3846
350	13503	3808
351	13538	3769
352	13576	3730
353	13620	3693
354	13659	3655
355	13693	3615
356	13725	3575
357	13758	3535
358	13793	3496
359	13825	3456
360	13862	3417
361	13893	3377
362	13930	3338
363	13967	3299
364	14001	3260
365	14031	3220
366	14066	3181
367	14094	3140
368	14129	3101
369	14164	3062
370	14196	3023
371	14229	2983
372	14263	2944
373	14297	2905
374	14329	2865
375	14362	2826
376	14395	2787
377	14430	2748
378	14464	2709
379	14496	2670
380	14530	2631
381	14565	2592
382	14600	2554
383	14648	2517
384	14681	2478
385	14719	2440
386	14751	2401
387	14787	2362
388	14820	2324
389	14854	2285
390	14899	2248
391	14939	2210
392	14989	2174
393	15024	2135
394	15076	2099
395	15116	2061
396	15152	2022
397	15196	1985
398	15260	1950
399	15309	1913
400	15457	1888
401	15555	1857
402	15604	1819
403	15645	1781
404	15713	1745
405	15758	1707
406	15821	1671
407	15863	1633
408	15950	1598
409	16008	1561
410	16082	1526
411	16146	1489
412	16195	1450
413	16235	1411
414	16285	1373
415	16335	1335
416	16377	1296
417	16430	1257
418	16470	1218
419	16540	1181
420	16584	1142
421	16632	1103
422	16675	1064
423	16722	1025
424	16766	986
425	16807	946
426	16845	907
427	16889	868
428	16938	829
429	16999	790
430	17049	751
431	17103	712
432	17148	673
433	17207	634
434	17247	594
435	17309	555
436	17355	516
437	17399	476
438	17439	436
439	17521	398
440	17557	358
441	17662	319
442	17711	279
443	17757	239
444	17802	200
445	17875	160
446	17911	120
447	17950	80
448	18007	40
449	18041	0
