iter	RMSE
0	1.846083892
1	1.832281104
2	1.820965233
3	1.808786438
4	1.799363236
5	1.790370401
6	1.782918996
7	1.776485515
8	1.770390199
9	1.764266535
10	1.759628846
11	1.755247435
12	1.751260175
13	1.747524054
14	1.744574484
15	1.741548653
16	1.738987509
17	1.736881963
18	1.73489997
19	1.733019903
20	1.730794971
21	1.729109631
22	1.727484503
23	1.725484746
24	1.723972789
25	1.722529525
26	1.72147644
27	1.720069228
28	1.718579298
29	1.717072135
30	1.716116443
31	1.714835693
32	1.713785589
33	1.712657803
34	1.711615425
35	1.710678304
36	1.709706116
37	1.70879149
38	1.707733273
39	1.706672473
40	1.706021543
41	1.705301885
42	1.704637748
43	1.703836618
44	1.703409113
45	1.702474645
46	1.701864206
47	1.701080616
48	1.700456454
49	1.700006422
50	1.699499009
51	1.698895794
52	1.698413731
53	1.697758898
54	1.697036071
55	1.696619419
56	1.696044331
57	1.695427518
58	1.694643961
59	1.693965122
60	1.693524895
61	1.693074369
62	1.692652559
63	1.69225992
64	1.691949383
65	1.691568905
66	1.690969665
67	1.690495943
68	1.690003619
69	1.689604287
70	1.689274397
71	1.688876784
72	1.688554757
73	1.688161754
74	1.687714702
75	1.687340841
76	1.686930735
77	1.686550556
78	1.686009214
79	1.685722026
80	1.685326701
81	1.684793045
82	1.684453047
83	1.684239525
84	1.683889809
85	1.683535633
86	1.683060584
87	1.682766523
88	1.682343917
89	1.681919844
90	1.681493128
91	1.68126682
92	1.680988239
93	1.680652713
94	1.680375029
95	1.680207843
96	1.679857167
97	1.679583101
98	1.67940271
99	1.679012176
100	1.678598482
101	1.678150184
102	1.677890389
103	1.677599442
104	1.67720865
105	1.676897041
106	1.676673549
107	1.676187612
108	1.675964078
109	1.675791244
110	1.675543381
111	1.675250974
112	1.674865737
113	1.674671073
114	1.674356079
115	1.674015669
116	1.673749148
117	1.673431714
118	1.67314006
119	1.672875716
120	1.672500747
121	1.672334624
122	1.672016798
123	1.671681574
124	1.671494397
125	1.671319971
126	1.671034944
127	1.670792111
128	1.670617693
129	1.67037851
130	1.670159134
131	1.669915822
132	1.669684322
133	1.669359408
134	1.669076954
135	1.668696896
136	1.668512316
137	1.668254337
138	1.668089154
139	1.667849918
140	1.667522391
141	1.667311323
142	1.666930667
143	1.666625708
144	1.666297873
145	1.666074274
146	1.66565723
147	1.665418462
148	1.665202872
149	1.664975448
150	1.664725987
151	1.664345639
152	1.664035134
153	1.663762566
154	1.663527739
155	1.663303885
156	1.663064254
157	1.662827454
158	1.662536676
159	1.662293983
160	1.662065739
161	1.66177464
162	1.66149404
163	1.6612479
164	1.660995912
165	1.660636193
166	1.660450429
167	1.66020378
168	1.659917088
169	1.659663469
170	1.65941834
171	1.65921169
172	1.659004927
173	1.658785386
174	1.65852933
175	1.658242999
176	1.658070622
177	1.657796722
178	1.657588178
179	1.65735369
180	1.657108816
181	1.656831944
182	1.656571591
183	1.656353157
184	1.656119525
185	1.655906251
186	1.655670644
187	1.655442844
188	1.655169745
189	1.654921805
190	1.654728682
191	1.654560943
192	1.654254965
193	1.653971143
194	1.653666099
195	1.653392545
196	1.653115173
197	1.652921978
198	1.652727289
199	1.652502292
200	1.652345635
201	1.65207431
202	1.651820301
203	1.651597207
204	1.651415903
205	1.651170657
206	1.650988243
207	1.650765181
208	1.65056866
209	1.650385194
210	1.650142121
211	1.649898389
212	1.649710759
213	1.649506026
214	1.649196246
215	1.649014188
216	1.648814435
217	1.648662842
218	1.64844875
219	1.648241331
220	1.648055322
221	1.647836821
222	1.64765994
223	1.647480249
224	1.647237594
225	1.647052251
226	1.646913551
227	1.646729977
228	1.646540771
229	1.646355148
230	1.646154454
231	1.645969317
232	1.645740552
233	1.645472988
234	1.645296044
235	1.645133587
236	1.644933284
237	1.644675694
238	1.644525611
239	1.644367772
240	1.644179488
241	1.643977186
242	1.643780489
243	1.643640963
244	1.643504907
245	1.643312875
246	1.643123395
247	1.642926599
248	1.642745744
249	1.642558715
250	1.642427097
251	1.642258825
252	1.642121588
253	1.641980844
254	1.641848642
255	1.641652384
256	1.64148807
257	1.641313032
258	1.641141259
259	1.640919065
260	1.640787096
261	1.64066068
262	1.640443186
263	1.640333639
264	1.640169473
265	1.640019526
266	1.639871974
267	1.639699246
268	1.639497594
269	1.639328405
270	1.639142372
271	1.638916409
272	1.638750674
273	1.638592915
274	1.638445312
275	1.638291995
276	1.638123665
277	1.637939908
278	1.637742184
279	1.637606642
280	1.637335263
281	1.637168102
282	1.637051977
283	1.636823189
284	1.636679264
285	1.63647349
286	1.636375331
287	1.63625986
288	1.636128201
289	1.635992431
290	1.635877062
291	1.635743686
292	1.635431682
293	1.635199552
294	1.634994956
295	1.634865636
296	1.634764663
297	1.634611233
298	1.634472216
299	1.634336511
300	1.634150626
301	1.634027905
302	1.633893588
303	1.63377983
304	1.633616564
305	1.633521914
306	1.633365217
307	1.633246423
308	1.633060134
309	1.632881297
310	1.632691998
311	1.632536874
312	1.632412399
313	1.632157545
314	1.631974304
315	1.631851487
316	1.631703325
317	1.631581911
318	1.631412039
319	1.631288642
320	1.631140528
321	1.630969927
322	1.630792748
323	1.630593912
324	1.63045673
325	1.630328694
326	1.630193721
327	1.630030345
328	1.629913409
329	1.629737952
330	1.629616387
331	1.62944842
332	1.629193439
333	1.629036606
334	1.628905547
335	1.628702594
336	1.628616632
337	1.628488448
338	1.628368357
339	1.628213363
340	1.62805608
341	1.62794433
342	1.627789739
343	1.627587135
344	1.627417714
345	1.627267209
346	1.627154888
347	1.62704766
348	1.626934077
349	1.626813078
350	1.626683044
351	1.626506656
352	1.626386571
353	1.62628997
354	1.626105203
355	1.626016339
356	1.625907172
357	1.625708871
358	1.625595119
359	1.625414728
360	1.625263742
361	1.625091768
362	1.625004657
363	1.624888439
364	1.624779712
365	1.62469039
366	1.624554075
367	1.624267443
368	1.624099042
369	1.623960509
370	1.623826767
371	1.623725687
372	1.623572692
373	1.623467919
374	1.623383795
375	1.623278742
376	1.623134136
377	1.622990945
378	1.622847492
379	1.622579702
380	1.622439698
381	1.62231186
382	1.622158964
383	1.622065504
384	1.621940792
385	1.621825761
386	1.621710171
387	1.621580023
388	1.621426212
389	1.621268818
390	1.621159664
391	1.621024115
392	1.620870696
393	1.620699679
394	1.620539649
395	1.620421495
396	1.620297297
397	1.620078964
398	1.619938759
399	1.619883325
400	1.619679215
401	1.619559304
402	1.619464731
403	1.619300837
404	1.619176797
405	1.61904716
406	1.61893259
407	1.618810518
408	1.618705214
409	1.618575912
410	1.618455228
411	1.618314218
412	1.618212925
413	1.618000415
414	1.617875011
415	1.617734227
416	1.61754787
417	1.617436892
418	1.617275147
419	1.617140213
420	1.617008245
421	1.616917742
422	1.616788873
423	1.616633407
424	1.616523654
425	1.616400046
426	1.616296037
427	1.616165069
428	1.616034796
429	1.615881707
430	1.615770958
431	1.615604231
432	1.615492945
433	1.615416352
434	1.61530573
435	1.61516025
436	1.614890764
437	1.614784573
438	1.614657536
439	1.614584581
440	1.614455876
441	1.614315228
442	1.614219022
443	1.614070419
444	1.6139654
445	1.613846994
446	1.613698577
447	1.613579982
448	1.613451984
449	1.613295172
450	1.613209792
451	1.613104696
452	1.612981998
453	1.612894291
454	1.612797317
455	1.612681497
456	1.612571914
457	1.61247845
458	1.612368363
459	1.612232296
460	1.612082921
461	1.611987013
462	1.611847191
463	1.611691234
464	1.61159481
465	1.611445744
466	1.611354047
467	1.61124617
468	1.611177697
469	1.611091342
470	1.610973076
471	1.610866116
472	1.610766629
473	1.610678359
474	1.610456015
475	1.61032695
476	1.610217775
477	1.61011717
478	1.610021403
479	1.609908714
480	1.60983568
481	1.609737384
482	1.60954642
483	1.609499348
484	1.609400713
485	1.609266021
486	1.609177795
487	1.60904064
488	1.608950165
489	1.608778077
490	1.608673197
491	1.608555968
492	1.608439986
493	1.608334433
494	1.608270354
495	1.608162557
496	1.607994334
497	1.607896865
498	1.607801564
499	1.607681707
500	1.607557653
501	1.607444338
502	1.607358442
503	1.607216964
504	1.60712548
505	1.606978727
506	1.606904926
507	1.6068197
508	1.606722569
509	1.606563141
510	1.606453272
511	1.606316679
512	1.606213499
513	1.606116861
514	1.605934779
515	1.605813405
516	1.605683834
517	1.605579927
518	1.605481079
519	1.60539734
520	1.605306772
521	1.605221901
522	1.605107435
523	1.60501758
524	1.604883537
525	1.604732648
526	1.604629757
527	1.604497841
528	1.604378856
529	1.604287574
530	1.60417622
531	1.604104168
532	1.604019135
533	1.603937575
534	1.603855834
535	1.603770527
536	1.603623762
537	1.603529185
538	1.603443626
539	1.603325304
540	1.603212296
541	1.603070655
542	1.603006718
543	1.60289867
544	1.602810262
545	1.602710551
546	1.602595585
547	1.602486196
548	1.602394241
549	1.602307843
550	1.602244929
551	1.602108305
552	1.601972186
553	1.601872359
554	1.60177424
555	1.601680273
556	1.601606615
557	1.601479843
558	1.601405637
559	1.601329998
560	1.601202773
561	1.601093473
562	1.600980117
563	1.600847852
564	1.600782673
565	1.600687108
566	1.600628454
567	1.600551165
568	1.600488894
569	1.600429385
570	1.600332369
571	1.60027135
572	1.600198072
573	1.600129778
574	1.600063365
575	1.599993441
576	1.599780437
577	1.5996997
578	1.599615732
579	1.599521123
580	1.599407006
581	1.599341102
582	1.599242679
583	1.599150528
584	1.599044695
585	1.598973197
586	1.59892584
587	1.598841889
588	1.598753064
589	1.598682763
590	1.598610477
591	1.598499362
592	1.598425871
593	1.598324616
594	1.598206045
595	1.598135572
596	1.598045769
597	1.597960571
598	1.597878945
599	1.597822501
600	1.597745584
601	1.597650141
602	1.597564587
603	1.597484079
604	1.597403753
605	1.597345117
606	1.597269212
607	1.597112086
608	1.597042624
609	1.596955089
610	1.596870514
611	1.59677005
612	1.596691518
613	1.596560713
614	1.59646244
615	1.596391177
616	1.59628125
617	1.596197724
618	1.596124427
619	1.596030927
620	1.59593797
621	1.595849205
622	1.595746534
623	1.59567604
624	1.595583101
625	1.595480465
626	1.595369259
627	1.595270148
628	1.595176256
629	1.595072525
630	1.594946065
631	1.59483441
632	1.594728521
633	1.594624997
634	1.594537884
635	1.594464893
636	1.594357542
637	1.594300067
638	1.594231746
639	1.59413459
640	1.594057323
641	1.593949022
642	1.593833194
643	1.593774837
644	1.5937067
645	1.593622891
646	1.59353161
647	1.593434273
648	1.593352779
649	1.59329092
650	1.593216732
651	1.593101374
652	1.592988127
653	1.592883159
654	1.592765321
655	1.592662612
656	1.592590439
657	1.592477398
658	1.592417032
659	1.592261807
660	1.592160811
661	1.592090237
662	1.592020164
663	1.591943552
664	1.591866589
665	1.591808409
666	1.591682128
667	1.591594306
668	1.591526803
669	1.591465039
670	1.591372602
671	1.59131111
672	1.59120835
673	1.591133666
674	1.591053219
675	1.590932575
676	1.59088083
677	1.59079919
678	1.59073689
679	1.590684683
680	1.590586874
681	1.590512773
682	1.590416979
683	1.590351059
684	1.590251335
685	1.590167214
686	1.590065551
687	1.58995593
688	1.589885208
689	1.589802393
690	1.589698856
691	1.589592786
692	1.589524797
693	1.589467422
694	1.589369223
695	1.589276922
696	1.589198006
697	1.589138942
698	1.58905458
699	1.588958256
700	1.588847521
701	1.588798429
702	1.588657434
703	1.588591561
704	1.588514502
705	1.588443573
706	1.588383152
707	1.588290589
708	1.588233915
709	1.588142134
710	1.588061275
711	1.587991689
712	1.587874542
713	1.587802291
714	1.587731393
715	1.587628454
716	1.587538181
717	1.58745535
718	1.587362028
719	1.587285169
720	1.587214949
721	1.587154602
722	1.587099725
723	1.587016413
724	1.586940582
725	1.58677692
726	1.586686512
727	1.586596654
728	1.586452761
729	1.586391589
730	1.5863255
731	1.586237493
732	1.586168663
733	1.586099704
734	1.586046262
735	1.585957137
736	1.585890145
737	1.585851345
738	1.585760519
739	1.585679424
740	1.58561394
741	1.585489422
742	1.585394267
743	1.585310916
744	1.585282189
745	1.585191528
746	1.585093711
747	1.585035595
748	1.584971164
749	1.584877368
750	1.584825554
751	1.584773365
752	1.584712018
753	1.584643552
754	1.584545405
755	1.584429042
756	1.584338683
757	1.584216448
758	1.584139782
759	1.584041679
760	1.583959957
761	1.583910426
762	1.583768638
763	1.583665541
764	1.583625772
765	1.583556912
766	1.583484223
767	1.583412758
768	1.583308874
769	1.58322507
770	1.583094894
771	1.583006502
772	1.582932856
773	1.582864343
774	1.582779456
775	1.58268323
776	1.582594508
777	1.582510984
778	1.582396941
779	1.582350814
780	1.582258583
781	1.582147067
782	1.582064559
783	1.581996799
784	1.581922288
785	1.581845139
786	1.581781834
787	1.581745437
788	1.581667347
789	1.581594978
790	1.581548624
791	1.581449115
792	1.58134521
793	1.581283098
794	1.581226249
795	1.581104463
796	1.581047639
797	1.580958303
798	1.580873757
799	1.580835369
800	1.580752417
801	1.580673354
802	1.580618834
803	1.580500606
804	1.580417361
805	1.580336225
806	1.58023636
807	1.580176959
808	1.580099402
809	1.580015031
810	1.579946043
811	1.579870809
812	1.579829447
813	1.579736649
814	1.579691259
815	1.579632904
816	1.579563264
817	1.579480448
818	1.579408913
819	1.579299334
820	1.579218415
821	1.579098725
822	1.579025643
823	1.578969706
824	1.578867767
825	1.578761643
826	1.57868006
827	1.578635332
828	1.578549459
829	1.578438358
830	1.578369013
831	1.578315768
832	1.578298236
833	1.57822847
834	1.578159848
835	1.578062137
836	1.577993022
837	1.577923104
838	1.577834739
839	1.577757319
840	1.57763811
841	1.577580549
842	1.577505119
843	1.577445562
844	1.577368312
845	1.577312253
846	1.577243682
847	1.577172591
848	1.577130605
849	1.577048447
850	1.576978127
851	1.576850339
852	1.57678475
853	1.576701335
854	1.576609636
855	1.576435147
856	1.576365906
857	1.576292672
858	1.576212237
859	1.576168701
860	1.576062344
861	1.576000851
862	1.575880008
863	1.575806899
864	1.575745366
865	1.575677535
866	1.575586581
867	1.575458777
868	1.575387939
869	1.575326149
870	1.575287999
871	1.575245344
872	1.575138409
873	1.575064151
874	1.574996586
875	1.574884591
876	1.574824747
877	1.574745746
878	1.574654976
879	1.574574561
880	1.574495937
881	1.574404175
882	1.574339499
883	1.574258228
884	1.574200263
885	1.574088284
886	1.573998533
887	1.573917598
888	1.573836588
889	1.573742472
890	1.573621796
891	1.573549519
892	1.573478578
893	1.573417672
894	1.573340869
895	1.573222155
896	1.573155468
897	1.573091479
898	1.573035874
899	1.57297515
900	1.572899761
901	1.572805517
902	1.572719551
903	1.572647391
904	1.572559815
905	1.572495666
906	1.572435842
907	1.57237491
908	1.572312073
909	1.572218935
910	1.572164439
911	1.572097721
912	1.572034104
913	1.571940532
914	1.571907113
915	1.57185455
916	1.571801513
917	1.571702882
918	1.571644121
919	1.571551453
920	1.571489415
921	1.571471993
922	1.571386558
923	1.571331659
924	1.571291106
925	1.5712378
926	1.571182156
927	1.571094919
928	1.571041157
929	1.570990247
930	1.570936395
931	1.570824113
932	1.570756312
933	1.570689758
934	1.570619706
935	1.57054633
936	1.570492899
937	1.570445839
938	1.570390889
939	1.570344477
940	1.570232073
941	1.570133537
942	1.570072876
943	1.570015022
944	1.569928852
945	1.569856691
946	1.569795728
947	1.569699169
948	1.56964491
949	1.569611763
950	1.569527437
951	1.56947807
952	1.569410541
953	1.569327384
954	1.569278068
955	1.56917268
956	1.569107541
957	1.569029807
958	1.568965712
959	1.568924737
960	1.568878815
961	1.568788205
962	1.568719358
963	1.568661572
964	1.568595636
965	1.568529089
966	1.568472507
967	1.568374827
968	1.568335326
969	1.568280209
970	1.568220695
971	1.568156551
972	1.568092206
973	1.568047218
974	1.567991831
975	1.567946877
976	1.567909037
977	1.567847468
978	1.567793323
979	1.567749059
980	1.567634523
981	1.567596133
982	1.567514826
983	1.567466948
984	1.567363807
985	1.567323246
986	1.567235327
987	1.567161297
988	1.567129865
989	1.56706815
990	1.567015518
991	1.566916041
992	1.566854756
993	1.566775189
994	1.566661071
995	1.566611288
996	1.566518071
997	1.566439389
998	1.566392389
999	1.566342696
