iter	Passed	Remaining
0	63	63157
1	67	33824
2	71	23723
3	74	18488
4	77	15442
5	80	13327
6	83	11887
7	86	10773
8	90	9936
9	93	9245
10	96	8681
11	99	8206
12	102	7811
13	106	7467
14	109	7168
15	112	6924
16	115	6695
17	119	6498
18	122	6305
19	125	6146
20	128	6005
21	131	5867
22	135	5739
23	138	5633
24	141	5523
25	145	5438
26	148	5346
27	151	5259
28	154	5177
29	157	5102
30	160	5029
31	164	4962
32	167	4897
33	170	4843
34	173	4795
35	177	4747
36	180	4698
37	184	4662
38	187	4617
39	191	4587
40	194	4549
41	197	4513
42	200	4472
43	204	4437
44	208	4431
45	211	4394
46	215	4372
47	219	4343
48	222	4318
49	225	4286
50	228	4254
51	231	4225
52	234	4197
53	238	4172
54	241	4144
55	244	4119
56	247	4096
57	250	4071
58	253	4048
59	257	4029
60	260	4004
61	263	3986
62	266	3967
63	270	3951
64	273	3932
65	276	3911
66	279	3891
67	282	3870
68	285	3853
69	288	3836
70	292	3821
71	295	3803
72	298	3788
73	301	3776
74	305	3762
75	308	3748
76	311	3734
77	315	3725
78	318	3710
79	321	3698
80	324	3683
81	328	3672
82	331	3662
83	334	3649
84	337	3637
85	341	3627
86	344	3617
87	347	3606
88	351	3596
89	354	3584
90	357	3575
91	361	3565
92	365	3561
93	368	3551
94	371	3540
95	375	3531
96	378	3522
97	381	3515
98	385	3506
99	388	3497
100	392	3490
101	395	3480
102	398	3473
103	402	3465
104	406	3461
105	409	3457
106	414	3458
107	418	3456
108	421	3448
109	425	3440
110	428	3432
111	432	3428
112	435	3419
113	439	3414
114	442	3404
115	445	3395
116	449	3389
117	452	3382
118	456	3376
119	459	3369
120	462	3362
121	466	3355
122	469	3347
123	473	3341
124	476	3333
125	479	3327
126	482	3318
127	485	3310
128	489	3306
129	493	3300
130	497	3297
131	500	3289
132	503	3284
133	507	3278
134	510	3273
135	515	3271
136	519	3269
137	522	3264
138	526	3261
139	529	3255
140	534	3256
141	538	3252
142	542	3250
143	545	3243
144	549	3242
145	552	3234
146	557	3232
147	560	3226
148	564	3221
149	567	3217
150	570	3209
151	574	3205
152	577	3198
153	582	3198
154	585	3192
155	589	3189
156	592	3182
157	596	3178
158	600	3177
159	604	3173
160	608	3169
161	611	3164
162	615	3160
163	618	3155
164	622	3151
165	626	3147
166	630	3142
167	633	3137
168	637	3133
169	640	3125
170	643	3120
171	647	3115
172	650	3108
173	653	3103
174	656	3097
175	660	3091
176	663	3085
177	667	3080
178	670	3073
179	673	3067
180	676	3059
181	679	3053
182	682	3046
183	685	3041
184	688	3034
185	691	3027
186	695	3022
187	698	3015
188	701	3010
189	705	3006
190	708	3000
191	711	2995
192	715	2990
193	718	2984
194	721	2978
195	724	2972
196	727	2966
197	731	2962
198	734	2956
199	737	2951
200	740	2945
201	743	2939
202	747	2933
203	750	2927
204	753	2921
205	756	2914
206	759	2908
207	762	2902
208	765	2895
209	768	2891
210	771	2885
211	775	2880
212	778	2875
213	781	2870
214	785	2867
215	788	2861
216	792	2859
217	795	2853
218	799	2851
219	803	2847
220	806	2841
221	809	2837
222	812	2832
223	816	2827
224	819	2821
225	822	2815
226	825	2810
227	828	2804
228	831	2799
229	834	2793
230	837	2789
231	841	2784
232	844	2779
233	847	2773
234	850	2769
235	853	2763
236	856	2758
237	859	2753
238	863	2748
239	866	2743
240	869	2737
241	872	2732
242	875	2727
243	878	2721
244	881	2716
245	884	2711
246	887	2706
247	891	2702
248	894	2697
249	897	2693
250	901	2688
251	904	2683
252	907	2678
253	910	2674
254	913	2669
255	916	2664
256	919	2659
257	923	2655
258	926	2650
259	929	2646
260	932	2641
261	936	2636
262	939	2632
263	942	2628
264	945	2623
265	948	2618
266	952	2613
267	955	2609
268	958	2605
269	961	2600
270	965	2596
271	968	2592
272	972	2589
273	975	2584
274	978	2579
275	981	2574
276	984	2570
277	988	2566
278	991	2561
279	994	2557
280	999	2556
281	1002	2552
282	1006	2549
283	1009	2544
284	1012	2540
285	1015	2535
286	1018	2531
287	1022	2526
288	1025	2522
289	1028	2518
290	1031	2514
291	1035	2510
292	1038	2506
293	1041	2502
294	1046	2499
295	1049	2495
296	1052	2492
297	1056	2488
298	1059	2483
299	1062	2479
300	1065	2474
301	1068	2470
302	1071	2465
303	1074	2460
304	1078	2456
305	1080	2451
306	1084	2447
307	1087	2442
308	1090	2438
309	1093	2434
310	1096	2430
311	1100	2425
312	1103	2422
313	1106	2417
314	1110	2413
315	1113	2409
316	1116	2405
317	1119	2400
318	1122	2397
319	1126	2392
320	1129	2388
321	1132	2384
322	1135	2380
323	1138	2376
324	1142	2371
325	1145	2367
326	1148	2364
327	1151	2359
328	1155	2356
329	1158	2352
330	1161	2348
331	1165	2344
332	1168	2340
333	1171	2335
334	1174	2331
335	1177	2327
336	1180	2323
337	1184	2320
338	1187	2315
339	1191	2313
340	1195	2310
341	1199	2308
342	1203	2305
343	1207	2301
344	1211	2299
345	1215	2297
346	1219	2295
347	1223	2292
348	1227	2289
349	1231	2286
350	1234	2283
351	1238	2280
352	1242	2277
353	1246	2273
354	1249	2270
355	1252	2266
356	1256	2262
357	1260	2261
358	1264	2258
359	1268	2254
360	1271	2251
361	1275	2247
362	1278	2244
363	1283	2241
364	1286	2238
365	1291	2237
366	1294	2233
367	1298	2230
368	1301	2226
369	1306	2223
370	1309	2220
371	1313	2218
372	1317	2215
373	1321	2212
374	1325	2209
375	1329	2205
376	1333	2203
377	1337	2200
378	1341	2198
379	1345	2195
380	1349	2192
381	1352	2188
382	1356	2185
383	1359	2181
384	1364	2178
385	1367	2175
386	1371	2171
387	1374	2167
388	1377	2163
389	1381	2160
390	1384	2156
391	1388	2153
392	1392	2150
393	1396	2148
394	1400	2144
395	1404	2142
396	1408	2138
397	1412	2136
398	1415	2132
399	1420	2130
400	1423	2126
401	1427	2123
402	1431	2119
403	1434	2116
404	1438	2113
405	1442	2110
406	1446	2107
407	1449	2103
408	1453	2100
409	1457	2096
410	1461	2093
411	1464	2089
412	1468	2087
413	1472	2084
414	1477	2082
415	1480	2078
416	1484	2076
417	1488	2072
418	1492	2069
419	1495	2065
420	1500	2063
421	1504	2060
422	1508	2057
423	1512	2054
424	1516	2052
425	1520	2048
426	1523	2044
427	1528	2042
428	1532	2039
429	1536	2036
430	1540	2034
431	1544	2031
432	1548	2028
433	1552	2024
434	1555	2020
435	1560	2018
436	1563	2014
437	1567	2010
438	1570	2006
439	1574	2003
440	1578	2000
441	1582	1998
442	1586	1994
443	1590	1992
444	1595	1989
445	1599	1987
446	1603	1983
447	1608	1981
448	1612	1978
449	1617	1976
450	1621	1973
451	1625	1970
452	1629	1967
453	1632	1963
454	1636	1960
455	1640	1957
456	1644	1953
457	1648	1950
458	1651	1946
459	1655	1943
460	1658	1939
461	1661	1935
462	1665	1931
463	1668	1927
464	1672	1924
465	1675	1920
466	1679	1916
467	1682	1912
468	1685	1908
469	1689	1905
470	1693	1901
471	1696	1897
472	1699	1893
473	1702	1889
474	1706	1886
475	1710	1882
476	1713	1878
477	1716	1874
478	1719	1870
479	1722	1866
480	1726	1862
481	1729	1858
482	1732	1854
483	1735	1850
484	1738	1846
485	1742	1842
486	1745	1838
487	1749	1835
488	1752	1831
489	1755	1827
490	1759	1823
491	1762	1819
492	1765	1815
493	1769	1812
494	1772	1808
495	1776	1804
496	1779	1801
497	1783	1797
498	1786	1794
499	1791	1791
500	1794	1787
501	1798	1784
502	1802	1781
503	1805	1777
504	1809	1773
505	1813	1770
506	1816	1766
507	1820	1762
508	1823	1758
509	1826	1755
510	1830	1751
511	1833	1747
512	1837	1743
513	1840	1740
514	1844	1736
515	1847	1732
516	1850	1729
517	1854	1725
518	1857	1721
519	1861	1718
520	1865	1714
521	1868	1710
522	1871	1707
523	1875	1703
524	1878	1699
525	1881	1695
526	1884	1691
527	1888	1687
528	1891	1684
529	1894	1680
530	1898	1676
531	1901	1672
532	1904	1668
533	1907	1665
534	1911	1661
535	1914	1657
536	1917	1653
537	1920	1649
538	1924	1645
539	1927	1641
540	1930	1637
541	1933	1634
542	1936	1630
543	1940	1626
544	1943	1622
545	1946	1618
546	1949	1614
547	1953	1611
548	1956	1607
549	1959	1603
550	1963	1600
551	1968	1597
552	1972	1594
553	1976	1591
554	1980	1587
555	1984	1584
556	1988	1581
557	1991	1577
558	1995	1574
559	1998	1570
560	2002	1566
561	2005	1563
562	2009	1559
563	2013	1556
564	2016	1552
565	2020	1549
566	2023	1545
567	2027	1541
568	2030	1538
569	2034	1534
570	2037	1530
571	2040	1527
572	2044	1523
573	2047	1519
574	2050	1515
575	2054	1512
576	2057	1508
577	2061	1504
578	2064	1501
579	2067	1497
580	2071	1493
581	2074	1489
582	2077	1486
583	2081	1482
584	2084	1478
585	2088	1475
586	2091	1471
587	2095	1467
588	2098	1464
589	2102	1460
590	2105	1456
591	2108	1453
592	2112	1449
593	2115	1446
594	2119	1442
595	2122	1438
596	2125	1435
597	2128	1431
598	2132	1427
599	2135	1423
600	2138	1420
601	2142	1416
602	2146	1413
603	2149	1409
604	2153	1405
605	2156	1402
606	2159	1398
607	2163	1394
608	2166	1391
609	2169	1387
610	2173	1383
611	2176	1380
612	2180	1376
613	2183	1372
614	2188	1369
615	2191	1366
616	2195	1362
617	2199	1359
618	2202	1355
619	2205	1351
620	2209	1348
621	2212	1344
622	2216	1341
623	2219	1337
624	2223	1333
625	2226	1330
626	2229	1326
627	2233	1322
628	2236	1319
629	2239	1315
630	2243	1312
631	2247	1308
632	2250	1304
633	2253	1301
634	2257	1297
635	2260	1293
636	2264	1290
637	2267	1286
638	2270	1282
639	2274	1279
640	2277	1275
641	2280	1271
642	2284	1268
643	2288	1264
644	2291	1261
645	2294	1257
646	2298	1253
647	2301	1250
648	2304	1246
649	2308	1242
650	2311	1239
651	2315	1235
652	2318	1232
653	2322	1228
654	2325	1225
655	2329	1221
656	2332	1217
657	2336	1214
658	2339	1210
659	2342	1206
660	2346	1203
661	2350	1199
662	2353	1196
663	2357	1192
664	2360	1189
665	2363	1185
666	2367	1181
667	2370	1178
668	2374	1174
669	2377	1171
670	2381	1167
671	2385	1164
672	2389	1161
673	2393	1157
674	2397	1154
675	2401	1150
676	2405	1147
677	2409	1144
678	2413	1140
679	2417	1137
680	2420	1133
681	2425	1130
682	2429	1127
683	2432	1123
684	2437	1121
685	2443	1118
686	2448	1115
687	2454	1113
688	2458	1109
689	2464	1107
690	2469	1104
691	2473	1101
692	2479	1098
693	2482	1094
694	2487	1091
695	2490	1087
696	2495	1084
697	2500	1082
698	2505	1078
699	2510	1075
700	2514	1072
701	2519	1069
702	2523	1066
703	2528	1063
704	2532	1059
705	2537	1056
706	2542	1053
707	2545	1049
708	2550	1046
709	2554	1043
710	2560	1040
711	2564	1037
712	2569	1034
713	2573	1031
714	2578	1027
715	2583	1024
716	2587	1021
717	2592	1018
718	2596	1014
719	2600	1011
720	2603	1007
721	2607	1003
722	2610	1000
723	2614	996
724	2618	993
725	2622	989
726	2625	985
727	2629	982
728	2633	978
729	2636	975
730	2640	971
731	2643	967
732	2646	964
733	2650	960
734	2653	956
735	2657	953
736	2660	949
737	2664	945
738	2667	942
739	2671	938
740	2675	935
741	2679	931
742	2682	927
743	2685	924
744	2689	920
745	2692	916
746	2695	913
747	2698	909
748	2702	905
749	2705	901
750	2709	898
751	2712	894
752	2716	890
753	2719	887
754	2723	883
755	2726	880
756	2731	876
757	2734	873
758	2739	869
759	2742	865
760	2746	862
761	2749	858
762	2753	855
763	2756	851
764	2760	847
765	2763	844
766	2766	840
767	2770	836
768	2774	833
769	2777	829
770	2781	826
771	2786	822
772	2789	819
773	2793	815
774	2796	811
775	2800	808
776	2803	804
777	2806	800
778	2810	797
779	2813	793
780	2816	789
781	2820	786
782	2823	782
783	2826	778
784	2830	775
785	2833	771
786	2836	767
787	2840	764
788	2843	760
789	2847	756
790	2850	753
791	2854	749
792	2857	745
793	2860	742
794	2864	738
795	2867	734
796	2870	731
797	2874	727
798	2878	724
799	2881	720
800	2885	716
801	2888	713
802	2892	709
803	2895	705
804	2899	702
805	2902	698
806	2906	695
807	2909	691
808	2912	687
809	2916	684
810	2919	680
811	2922	676
812	2926	673
813	2929	669
814	2932	665
815	2935	662
816	2938	658
817	2942	654
818	2945	650
819	2948	647
820	2951	643
821	2955	639
822	2958	636
823	2961	632
824	2964	628
825	2968	625
826	2971	621
827	2974	617
828	2978	614
829	2981	610
830	2985	607
831	2988	603
832	2991	599
833	2994	596
834	2998	592
835	3001	588
836	3005	585
837	3008	581
838	3010	577
839	3014	574
840	3017	570
841	3020	566
842	3023	563
843	3026	559
844	3030	555
845	3033	552
846	3036	548
847	3039	544
848	3042	541
849	3046	537
850	3049	533
851	3052	530
852	3056	526
853	3059	523
854	3062	519
855	3066	515
856	3069	512
857	3073	508
858	3076	504
859	3079	501
860	3083	497
861	3086	494
862	3089	490
863	3092	486
864	3095	483
865	3099	479
866	3102	475
867	3105	472
868	3109	468
869	3112	465
870	3115	461
871	3118	457
872	3121	454
873	3124	450
874	3127	446
875	3131	443
876	3134	439
877	3137	435
878	3140	432
879	3144	428
880	3147	425
881	3150	421
882	3153	417
883	3156	414
884	3160	410
885	3163	407
886	3166	403
887	3170	399
888	3173	396
889	3177	392
890	3180	389
891	3184	385
892	3187	381
893	3190	378
894	3194	374
895	3197	371
896	3200	367
